SMILES,SMILES_state,NLL
CCCN(C=CC=CC(O)=C1C(=O)OC(C)(C)OC1=O)CCC,1,9.67
CC(=CC(C)=C1C(=O)NC(=S)NC1=O)N(C)C,1,15.55
CCCCCCCCN(CCCCCCCC)CCN(CCCCCCCC)Cc1cn(CC(O)COC(=O)N2CCCCC2)nn1,1,33.6
CC(=CC=CC(O)=C1C(=O)N(c2ccccc2)N=C1C)N(C)CCCN=[N+]=[N-],1,8.43
C=C(C)N(C=CC(C)=CC(O)=C1C(=O)N(c2ccccc2)N=C1C)CCO,1,13.3
CCCc1c2c(cc3c(Cc4ccccc4)cccc13)COC2=O,1,33.31
CC(C=CN1CCOCC1)=CC(O)=C1C(=O)N(C)C(=O)N(C)C1=O,1,10.29
CCCCN(C=CC(C)=CC(O)=C1C(=O)NC(=O)NC1=O)CCCC,1,7.75
CC(=O)NC(CCCN=C(N)N)C(=O)N=C(CC(C)C)C(=O)N1CCCCC1,1,24.38
CC(=CCN=[N+]=[N-])CC=CC(O)=C1C(=O)OC(C)(C)OC1=O,1,18.71
CCCCCC(O)C=CC=CC(O)=C1C(=O)OC(C)(C)OC1=O,1,14.88
CCCN(CCC)C(C)=CC=CC(O)=C1C(=O)OC(C)(C)OC1=O,1,10.52
CCCN(CCC)C(C)=CC=CC(O)=C1C(=O)N(C)C(=O)NC1=S,1,15.41
O=C1NNC(=O)C1=C(O)C=CC=CN1CCSCC1,1,7.96
CC(C=CN(C)C)=CC(O)=C(O)c1ccccc1,1,18.49
CN1C(=O)C(=C(O)C=CC=CN2CCCC2)C(=O)N(C)C1=S,1,8.62
CC=CC=CN(N)CCCN=[N+]=[N-],1,18.99
CCCCCCCCN(C=CC=CC(O)=C1C(=O)c2ccccc2C1=O)CCCN=[N+]=[N-],1,12.46
CC(=CC=CC(O)=C1C(=O)NC(=O)NC1=O)N1CCN(C)CC1,1,12.59
CN(C=CC=CC(O)=C1C(=O)NC(=O)NC1=O)CCO,1,7.13
CC(C=CN1CCN(C)CC1)=CC(O)C=CN1CCN(C)CC1,1,16.17
CC(=CC=CC(O)=C1C(=O)NC(=O)NC1=O)N1CCOCC1,1,10.26
CCN(CC)C(C)=CC=CC(O)=C1C(=O)N(CC)C(=O)N(CC)C1=O,1,8.92
CC(=CC=CC(O)=C1C(=O)OC(C)(C)OC1=O)N1CCCCC1,1,9.34
CN1C(=O)C(=C(O)C=CC=CN2CCCc3ccccc32)C(=O)N(C)C1=O,1,9.1
CCCCCCCCN(C=CC=CC(O)=C1C(=O)c2ccccc2C1=O)CCCCCCCC,1,10.16
CC(C=CN(C)C)=CC(O)=C1C(=O)c2ccccc2C1=O,1,10.71
CCCCCCCCC=CN(C)C=CC=CC(C)=CC(O)=C1SC(=O)N(C)C1=O,1,32.52
CCCCN(CCCC)C(C)=CC=CC(O)=C1C(=O)ON=C1C(F)(F)F,1,8.15
CC(C=CN1CCSCC1)=CC(O)=C1C(=O)NNC1=O,1,7.36
CN1CCN(CCCNC(=O)C=CC=C(c2ccccc2)c2ccccc2)CC1,1,14.4
CC(C=CN1CCc2ccccc21)=CC(O)=C1C(=O)OC(C)(C)OC1=O,1,10.53
CC(C=CC(=O)C=CN(C)C)=CC(O)=C1C(=O)NNC1=O,1,15.66
CC=NC=CC=CC(O)=C1C(=O)c2ccccc2C1=O,1,15.62
CC(C=CN(C)c1ccccc1)=CC(O)=C1C(=O)OC(C)(C)OC1=O,1,9.76
CC(C=CN(C)CC=CN(C)CCO)=CC(O)=C1C(=O)N(C)C(=O)N(C)C1=O,1,16.87
OC1C=CCNC1,1,19.28
CN(C=CC=CC(O)=C1C(=O)N(C)C(=S)N(C)C1=O)CCO,1,14.1
CCN(C=CC=CC(O)=C1C(=O)N(C)C(=S)N(C)C1=O)c1ccccc1,1,11.06
CCCCCCCCN(C=CC(C)=CC(O)=C1C(=O)ON=C1C)CCCCCCCC,1,12.56
CC(C=CN1CCc2ccccc21)=CC(O)=C1C(=O)N(C)C(=O)N(C)C1=O,1,8.84
CC(=CC=CC(C)N(C)CCO)N(C)C,1,17.39
CN1C(=CC=Cc2cccn(C)c2=O)C(C)(C)c2ccccc21,1,17.71
O=C1ON=C(C(F)(F)F)C1=C(O)C=CC=CN1CCCCC1,1,9.29
CC(=CC=CC(O)=C1C(=O)NNC1=O)N1CCSCC1,1,8.24
CC(C=CN1CCCc2ccccc21)=CC(O)=C1C(=O)N(C)N=C1C,1,13.19
CC1(C)C=C(F)c2cc(CCN)ccc2O1,1,21.89
CN(C=CC=CC(O)=C1C(=O)N(C)C(=S)N(C)C1=O)CCCN=[N+]=[N-],1,7.56
CN1C(=N)N(C)C(=O)C(=C(O)C=CC=CN2CCc3ccccc32)C1=O,1,16.02
CCCCN(C=CC(O)=CC(O)=C1C(=O)Nc2ccccc21)CCCC,1,14.26
CCCCN(C=CC=CC(O)=C1C(=O)N(CC)C(=O)N(CC)C1=O)CCCC,1,7.42
CC(=CC=CC(O)=C1C(=O)NC(=S)NC1=O)N(C)CCCN=[N+]=[N-],1,10.08
CC(C=CN(O)C=CC=CC=CC(O)=C1C(=O)NC(=O)NC1=O)=CC=C1C(=O)N(C)C(=S)N(C)C1=O,1,21.95
CCCCN(C=CC(C)=CC(O)=C1C(=O)NC(=S)NC1=O)CCCC,1,10.1
CN1CCN(C=CC=CC(O)=C2C(=O)N(C)C(=S)N(C)C2=O)CC1,1,8.94
CN(C=CC=CC(O)=C1C(=O)OC(C)(C)OC1=O)CCCN=[N+]=[N-],1,7.63
CC(C=CN1CCCC1)=CC(O)=C1C(=O)C(C)=C(C)N1c1ccccc1,1,16.63
CCCN(CCC)C(C)=CC=CC(O)=C1C(=O)N(C)C(=S)N(CC)C1=O,1,9.42
CC(C)=CC=CC(O)=C1C(=O)NC(=S)NC1=O,1,11.54
CCN(C=CC=CC(O)=C1NC(=O)C(c2ccccc2)N(C)C1=O)c1ccccc1,1,18.32
CC(C=CN(C)CCO)=CC(O)=C1C(=O)c2ccccc2C1=O,1,8.88
CCN(C=CC=CC(O)=C1C(=O)OC(C)(C)OC1=O)c1ccccc1,1,9.53
CC1=NN(c2ccccc2)C(=O)C1=C(O)C=CC=CN1CCOCC1,1,9.15
O=C1C(=C(O)C=CC=CN2CCCCC2)C(C(F)(F)F)=NN1c1ccccc1,1,10.51
CCN(C=CC(C)=CC(O)=C1C(=O)NNC1=O)c1ccccc1,1,9.69
CCCN(CCC)C(C)=CC=CC(O)=C1C(=O)Nc2ccccc21,1,10.88
CC1(C)OC(=O)C(=C(O)C=CC=CN2CCSCC2)C(=O)O1,1,9.57
CC(=CC=CC(O)=C1C(=O)ON=C1C)N1CCc2ccccc21,1,10.67
CN(C=CC=CC(O)=C1C(=O)NC(=S)NC1=O)CCO,1,8.75
CN1C(=O)C(=C(O)C=CC=CC(O)=C2C(=O)Nc3ccccc32)C(=O)N(C)C1=O,1,13.9
CC(C=CN1CCN(C)CC1)=CC(O)=C1C(=O)N(c2ccccc2)N=C1C(F)(F)F,1,12.98
CC1(c2ccccc2)C(=O)N(c2ccccc2)N=C1C(F)(F)F,1,18.59
CN1C(=O)C(=C(O)C=CC=CN2CCCc3ccccc32)C(=O)N(C)C1=S,1,8.43
CC(=CC=CC(O)=C1C(=O)NNC1=O)N1CCN(C)CC1,1,8.56
CC(C=CN1CCCc2ccccc21)=CC(O)=C1C(=O)Nc2ccccc21,1,11.3
CC(C=CN1CCCCC1)=CC(O)=C1C(=O)N(c2ccccc2)N=C1C,1,10.49
CCN(C=CC(C)=CC(O)=C1C(=O)ON=C1C(F)(F)F)CC,1,11.04
CCN(C=CC=CC(O)=C1C(=O)N(c2ccccc2)N=C1C(F)(F)F)c1ccccc1,1,9.71
CC(=O)Nc1ccc(N2N=C(C(F)(F)F)C(=C(O)C=C(C)C=CN(C)C)C2=O)cc1,1,13.89
CC(=CC=CC(O)=C1C(=O)Nc2ccccc21)N(C)CCCN=[N+]=[N-],1,11.49
CCCN(C=CC(C)=CC(O)=C1C(=O)OC(C)(C)OC1=O)CCC,1,9.48
CN1C(=O)C(=C(O)C=CN2CCOCC2)C(=O)N(C)C1=S,1,12.06
CC(C)CCCC(C)C1CCC2C3CCC4Cc5nc6ccccc6cc5CC4(C)C3CCC12C,1,28.54
CC(C=CN1CCSC(C)(C)C1)=CC(O)C=C(O)C=CC=C(C)N1CCSCC1,1,28.06
CC(=CC=CC(O)=C1C(=O)c2ccccc2C1=O)N1CCN(C)CC1,1,8.93
CC1=NOC(=O)C1=C(O)C=CC=CN1CCCC1,1,8.81
O=C1C(=C(O)C=Cc2ccccc2)C(C(F)(F)F)=NN1c1ccccc1,1,10.28
CC(=CC=CC(O)=C1C(=O)NC(=S)NC1=O)N(C)CCO,1,8.03
CC(=CC=CC(=O)O)N1CCc2ccccc21,1,13.3
CN1CCN(C=CC=CC(O)=C2C(=O)NC(=O)NC2=O)CC1,1,9.46
CC1=NN(c2ccccc2)C(=O)C1=C(O)C=CC=CN1CCCC1,1,11.51
CCCCCCN(C=CC(C)=CC(O)=C1C(=O)c2ccccc2C1=O)CCCl,1,18.32
O=C1C(=C(O)C=CC=CN2CCCC2)C(C(F)(F)F)=NN1c1ccccc1,1,9.86
CCN1C(=O)C(=C(O)C=CC=C(C)N2CCSCC2)C(=O)N(CC)C1=O,1,7.78
CC(=CC=CC(O)=C1C(=O)N(C)C(=S)N(C)C1=O)N1CCCCCC1,1,9.95
CCCNC(C)=CC=CC(O)=C1C(=O)ON=C1C(F)(F)F,1,15.85
O=C1NC(=O)C(=C(O)C=CC=CN2CCOCC2)C(=O)N1,1,12.28
O=C1C(=O)N(c2ccccc2)C(c2ccccc2)=C1S(=O)(=O)c1ccccc1[N+](=O)[O-],1,26.77
CC1=NN(c2ccccc2)C(=O)C1=C(C)C=CC=NN=C(N)N,1,15.73
CN1C(=C(C#N)C(N)=O)C(=O)c2ccccc21,1,20.75
CCCCCCCCN(CCCCCCCC)C(=O)CCCCCCCNC=N,1,23.87
CC(=CC=CC(O)=C1C(=O)c2ccccc2C1=O)N1CCOCC1,1,12.4
CCCN(CCC)C(C)=CC=CC(O)=C1C(=O)N(C)C(=O)N(C)C1=O,1,14.05
CC(=CC=CC(O)=C1C(=O)NC(=O)N(C)C1=O)N(CCCN=[N+]=[N-])C(=C(C)C)n1cccc1,1,27.46
CCCCCCCCN(CCCCCCCC)C(C)=CC1(C)CCCC(C)O1,1,28.69
CC1=NN(c2ccccc2)C(=O)C1=C(O)C=C(O)C=CC=CN(C)C,1,12.27
CC(C=CN1CCCc2ccccc21)=CC(O)=C1C(=O)NC(=O)NC1=O,1,11.54
CSC(C=CC=C(C)CCC=C(C)C)=C(O)C=CC=C(C)N1CCCCCC1,1,23.76
CC(=C1C(=O)NNC1=O)N1CCN(C)CC1,1,11.81
CN(C(O)=CC=CC(O)=C1C(=O)NNC1=O)c1ccc(F)cc1,1,16.83
O=C1C(=C(O)C=CC=CN2CCSCC2)C(C(F)(F)F)=NN1c1ccccc1,1,7.12
CCCCCCN(CCCC)C(C)=CC=CC(O)=C1C(=O)ON=C1C,1,12.36
Nc1ccc2ccccc2c1,1,14.21
CCN(C=CC=CC(O)=C1C(=O)NC(=S)NC1=O)CC,1,6.49
CC(=CC(O)=C1C(=O)ON=C1C(F)(F)F)C=C1C(=O)ON=C1C,1,17.08
CC(=CC=CC(O)=C1C(=O)OC(C)(C)OC1=O)N(C)C(C)(C)C,1,15.97
CC(=CC=CC(O)=C1C(=O)ON=C1C)N1CCCC1,1,12.0
CC(=CC=CC(O)=C1C(=O)NNC1=O)N1CC[S+]([O-])C1,1,19.16
CCCCCCCCN(CCCCCCCC)C(C)=CC=CC(O)=C1C(=O)N(C)C(=S)N(C)C1=O,1,6.87
CC(C)=C1C(=O)OC(=O)C1=C(C)C=C(O)C=CN1CCCC1,1,18.48
C=C(C)CN(C)C=CC(C)=CC(O)=C1C(=O)NNC1=O,1,19.48
CC(C=CN1CCCCCC1)=CC(O)=C1C(=O)NC(=O)NC1=O,1,9.97
CC(=CC=CC(O)=C1C(=O)N(c2ccccc2)N=C1C)N1CCOCC1,1,8.09
CC(C=CN1CCSCC1)=CC(O)=C1C(=O)OC(C)(C)OC1=O,1,10.53
CCN(C=C(O)C(C)=CN(C)C)CC,1,17.15
CC(=CC=CC(O)=C1C(=O)N(C)C(=O)N(C)C1=O)N1CCSCC1,1,7.81
CC(C=CN(C)CCCN=[N+]=[N-])=CC=C(C)N1CCCC1,1,13.31
CCN(C=CC=CC(O)=C1C(=O)N(C)C(=O)N(CCO)C1=O)c1ccccc1,1,14.48
CCN1C(=O)NC(=O)C(=C(O)C=C(C)C=CN(CCO)CCO)C1=O,1,15.78
CCN1C(=O)C(=C(O)C=CC=CN(C)CCCN=[N+]=[N-])C(=O)N(CC)C1=O,1,13.93
CC(=CC=CC(O)=C1C(=O)N(C)C(=O)N(C)C1=O)N(C)C,1,7.88
CN=C1C(C(=O)O)C(=O)CC(C)(C)N1C,1,20.35
CN(C)C=CC=CC(O)=C1C(=O)N(c2ccccc2)N=C1C(F)(F)F,1,9.09
CN1C(=O)C(=C(O)C=CC=CN2CCc3ccccc32)C(=O)N(C)C1=O,1,9.32
Cc1c(C)n(C)c2c(O)n(CC(=O)O)c(O)c12,1,23.51
CC(=O)C1=CC(=C(O)C=CC=CN(C)C)C(=C(C)C)C1,1,18.59
CC1=NOC(=O)C1=C(O)C=CC=CN(C)CCCN=[N+]=[N-],1,9.46
C=CC1(C)CC(O)CCC1C(=C)C,1,15.74
CCN1C(=O)C(=C(O)C=C(C)C=CN(C)C=CC(O)=CC(O)=C2C(=O)Nc3ccccc32)C(=O)N(CC)C1=O,1,18.3
C=C1C(=O)OC(C)C1c1ccccc1,1,12.23
CCN1C(=O)C(=C(O)C=C(C)C=CN(CC)c2ccccc2)C(=O)N(CC)C1=O,1,8.82
CCCCN1C(=O)C(=C(O)C=C(C)C=CN2CCSCC2)C(=O)N(CC)C1=O,1,16.82
CCN1C(=O)C(=C(O)C=CC=CN2CCCC2)C(=O)N(CC)C1=O,1,10.19
CC(C=CN1CCN(C)CC1)=CC(O)=C1C(=O)c2ccccc2C1=O,1,7.37
CCCCN(C=CC=CC(O)=C1C(=O)NC(=O)NC1=O)CCCC,1,10.13
CCCCCCCCN(C=CC=CC(O)=C1C(=O)ON=C1C(F)(F)F)CCCCCCCC,1,10.9
CCNC(=O)N1CC(=Cc2ccccc2)C(=O)C(=Cc2ccccc2)C1,1,18.18
CC(=CC=CC(O)=C1C(=O)OC(=C(C)C=CC=CN2CCCC2)C(C)(O)C1=O)N(C)CCO,1,23.85
O=C1NNC(=O)C1=C(O)C=CC=CN1CCCCC1,1,7.52
CCCCN(CCCC)C(C)=CC=CC(O)=C1C(=O)c2ccccc2C1=O,1,8.8
CN(C=CC=CC(O)=C1C(=O)NC(=O)NC1=O)c1ccccc1,1,12.97
CCC(O)=C1C(=O)NC(=S)NC1=O,1,12.06
N=C(N)NCCCC1CCN(C=CC=CC(=O)O)CC1,1,26.74
CC(=CC=CC(O)=C1C(=O)N(C)C(=O)N(C)C1=O)N1CCCC1,1,9.17
CC(C=CN1CCN(C)CC1)=CC(O)=C1C(=O)OC(C)(C)OC1=O,1,8.91
CC(C=CN(C)CCCN1CCOCC1)=CC(O)=C1C(=O)NC(=S)NC1=O,1,15.59
CN1C(=O)C(=C(C#N)C=CC(O)=C2C(=O)NC(=O)NC2=O)OC1=S,1,20.78
CC(C=CN(C)c1ccccc1)=CC(O)=C1C(=O)c2ccccc2C1=O,1,10.6
CCN1C(=O)C(=C(O)C=C(C)C=CN2CCc3ccccc32)C(=O)N(CC)C1=O,1,10.77
CC(=CC=CC(O)=C1C(=O)N(C)C(=O)N(C)C1=O)N1CCN(C)CC1,1,8.89
CCCC1N=C(N)N=C(N)N1c1ccccc1,1,17.84
CCCCCCCCN(C=CC=CC(O)=C1C(=O)ON=C1C)CCCCCCC(C)C,1,14.81
CC1=NOC(=O)C1=C(O)c1ccccc1,1,11.87
C=C(C)CN(CC)S(=O)(=O)c1ccc(OC)cc1,1,19.74
CN1C(=O)C(=C(O)C=CC=CN2CCOCC2)C(=O)N(C)C1=O,1,10.85
CC1=NN(c2ccccc2)C(=O)C1=C(O)C=CC=CN(C)CCCN=[N+]=[N-],1,8.34
C(=NN=c1cc(N2CCCCC2)[nH]cn1)c1cccc2ccccc12,1,17.44
CCN1C(=O)C(=C(O)C=CC=C(C)N(CC)c2ccccc2)C(=O)N(CC)C1=O,1,10.48
O=CN(C=CC=CC(O)=C1C(=O)NC(=O)NC1=O)CCCC(F)(F)F,1,23.14
CN(C=CC=CC(O)=C1C(=O)N(c2ccccc2)N=C1C(F)(F)F)CCCN=[N+]=[N-],1,7.98
CN1C(=O)C(=C(O)C=CC=CN(CCO)CCO)C(=O)N(C)C1=S,1,13.93
CC(=CC=CC(O)=C1C(=O)NC(=S)NC1=O)N(C)c1ccccc1,1,7.95
O=[N+]([O-])C=CN1CCCC1,1,16.0
CC(=CC=CC(O)=C1C(=O)NNC1=O)N1CCN=C1N,1,14.15
CC(=CC=CC(O)=C1C(=O)C(=O)c2ccccc2C1=O)N(C)CCCN=[N+]=[N-],1,13.54
CC1=CC(=C(O)C=CC=CN2CCOCC2)CC1=O,1,17.13
CN1C(=O)C(=C(O)c2ccccc2)C(=O)N(C)C1=O,1,11.43
CCCN(C=CC=CC(O)=C1C(=O)N(c2ccccc2)N=C1C)CCC,1,7.26
CC(C=CN1CCCC1)=CC(O)=C1C(=O)c2ccccc2C1(C)C,1,15.11
O=C1C(=C(O)C=CC=CCN2CCCCC2)C(C(F)(F)F)=NN1c1ccccc1,1,17.53
CCCCCCCCN(C=CC=CC(O)=C1C(=O)N(CC)C(=O)N(CC)C1=O)CCCCCCCC,1,8.65
CC(=CC=CC(O)=C(C=C1C(=O)NNC1=O)C(F)(F)F)N1CCOCC1,1,24.35
CC(=CC=CC(O)=C1C(=O)NNC1=O)N(C)C,1,7.47
CN1C(=CC=CC(O)=C2C(=O)NC(=O)NC2=O)C(C)(C)c2ccccc21,1,15.66
CC(=CC=CC(O)=C1C(=O)NC(=O)NC1=O)N1CCCC1,1,9.34
CCCCCCCCN(CCCCCC)C(=O)C(CCCN=C(N)N)NC(C)(C)CC,1,26.73
CCN(CC)C(C)=CC=CC(O)=C1C(=O)OC(C)(C)OC1=O,1,9.56
CC(=CC=CC(O)=C1C(=O)Nc2ccccc21)N(C)CCO,1,10.48
CC(=CC=CC(O)=C1C(=O)ON=C1C(F)(F)F)N1CCOCC1,1,10.0
CC(C=CN1CCc2ccccc21)=CC(O)=C1C(=O)N(c2ccccc2)N=C1C,1,8.54
CCCC1=NN(c2ccccc2)C(=O)C1=O,1,13.31
CC(=CC=CC(O)=C1C(=O)N(C)C(=S)N(C)C1=O)N(C)C=O,1,14.02
CCCCCCCCN(C=CC(C)=CC1(O)CC(C(F)(F)F)=NN1C(=O)CCCC)CCCCCCCC,1,26.19
CN(C=CC(O)=CC(O)=C1C(=O)NC(=S)NC1=O)CCCN=[N+]=[N-],1,14.0
CCCCN(CCCC)C(C)=CC=CC(O)=C1C(=O)N(C)C(=S)N(C)C1=O,1,8.23
CC(C=CN(C)c1ccccc1)=CC(C)=C1C(=O)NNC1=O,1,12.49
CC(=CC(O)=C1C(=O)NNC1=O)C=C(O)C(O)C(C)C,1,22.13
CN(C=CC=CC(O)=C1C(=O)Nc2ccccc21)CCO,1,10.75
CCN(C=CC=CC(O)=C1C(=O)ON=C1C(F)(F)F)c1ccccc1,1,7.67
CCCN(CCC)C(C)=CC=CC(O)=C1C(=O)ON=C1C,1,6.95
CC1=NN(c2ccccc2)C(=O)C1=C(O)C=CC=CN1CCN(C)CC1,1,10.22
CC(C=CN1CCCCCC1)=CC=CC(O)=C1C(=O)Nc2ccccc21,1,10.28
CC(C=CN1CCCCCC1)=CC(O)=C1C(=O)Nc2ccccc21,1,10.66
CC(=CC=CC(O)=C1C(=O)ON=C1C)N1CCNCC1,1,13.34
CCN1C(=O)C(=C(O)C=CC=CN(CC)c2ccccc2)C(=O)N(CC)C1=O,1,15.63
CC(=CC=CC(O)=C1C(=O)N(c2ccccc2)N=C1C(F)(F)F)N1CCCCC1,1,10.09
NC(=C1C(=O)c2ccccc2C1=O)N1CCOCC1,1,16.44
CN1CCN(C=CC=CC(O)=C2C(=O)Nc3ccccc32)CC1,1,8.08
CCN(C=CC(C)=CC(O)=C1C(=O)N(C)C(=S)N(C)C1=O)CC,1,10.92
CC(C=CN1CCCC1)=CC(O)=C1C(=O)N(C)C(=S)N(C)C1=O,1,11.38
CC(=CC=CC1C(=O)OC(C)(C)ON1C)N1CCN(S(=O)(=O)c2ccccc2)CC1,1,32.67
CC(C=CN1CCCC1)=CC(O)=C1C(=O)ON=C1c1ccccc1,1,16.22
CCN(C=CC(C)=C(O)C=CN(CCO)CCO)CC,1,16.51
CC(C=CC(O)=C1C(=O)N(C)C(=O)N(C)C1=O)=CC(O)=C1C(=O)ON=C1C,1,13.34
CCN(C=CC(C)=CC(O)=C1C(=O)NC(=S)NC1=O)c1ccccc1,1,14.46
CCCCN(CCCC)CCCN1CCN(CC)CC1,1,14.74
C=C(CCC=C(C)C)CN(CCO)CCO,1,16.49
CC(C=CN1CCN(C)CC1)=CC(O)=C1C(=O)NNC1=O,1,10.43
CC(=CC=C1C(=O)Nc2ccccc21)N1CCCCC1,1,13.37
CC(=CC=CC(O)=C(C)N1Cc2ccccc2C1=O)N(CCO)CCO,1,17.26
CN(CCCO)C(=O)Nc1cccc2ccccc12,1,20.82
CCCN(CCC)C(C)=CC=CC(O)=C1C(=O)N(CC)C(=O)N(CC)C1=O,1,11.11
CC(=CC=CC(O)=C1C(=O)NNC1=O)N(C)CCO,1,8.02
CCN1CCCC(c2ccc3c(c2)OCCO3)C1,1,23.65
CCCN(C=CC=CC(O)=C1C(=O)Nc2ccccc21)CCC,1,9.4
CCN(CC)C(=O)C=CC=Cc1ccccc1,1,19.09
CC(=CC=CN1CCCCC1=O)N1CCCc2ccccc21,1,16.32
CC(=CC=CC(O)=C1C(=O)Nc2ccccc21)N(C)C=CC=CC(O)=C1C(=O)NC(=O)NC1=O,1,15.84
CC(=CC=CC(O)=C1C(=O)ON=C1C)N1CCN(C)CC1,1,10.48
O=C1ON=C(C(F)(F)F)C1=C(O)C=CC=CN(CCO)CCO,1,9.2
CC1=NOC(=O)C1=C(O)C=CC=CN(C)CCO,1,9.18
CCN1C(=O)C(=C(O)C=CC=CN(C)C)C(=O)N(CC)C1=O,1,8.59
CC(=CC=CC(O)=C1C(=O)OC(C)(C)OC1=O)N(CCO)CCO,1,9.95
CC(C)N=c1[nH]c(=Nc2ccc(O)cc2)[nH]c(=Nc2ccc(F)cc2)[nH]1,1,23.36
CCN(C(C)=CC=CC(O)=C1C(=O)NNC1=O)c1ccccc1,1,8.17
CC(C=CN1CCN(C)CC1)=CC(C)=CC(O)=C1NNC(=O)C1(C)O,1,31.35
CCCCN(CCN1CCc2ccccc21)C(C)=CC=CC(O)=C1C(=O)OC(C)(C)OC1=O,1,20.6
CCN(C(C)=C=CC=CC(O)=C1C(=O)N(c2ccccc2)N=C1C(F)(F)F)c1ccccc1,1,20.69
CC(=O)OC1=C(C=CC=C(C)N(C)CCO)C(=O)NC(=O)C1=C(O)C=C(C)C=CN1CCSCC1,1,27.76
C=C(C)OCC=CC=CN(CCCC)CCCC,1,16.44
CC(=CC=CC(O)=C1C(=O)NC(=O)NC1=O)N(C)c1ccccc1,1,9.82
CCCN(C=CC=CC(O)=C1C(=O)N(c2ccccc2)N=C1C)CCOC,1,14.01
