smiles,lambda_max
N#CCCNc1ccc(N=Nc2ccc(CCO)cc2)cc1,396.0
CC(=O)Nc1ccc(/N=N/c2c(C)noc2C)cc1,342.0
O=[N+]([O-])c1cccc(/N=N/c2cccc([N+](=O)[O-])c2)c1,311.0
N#Cc1ccc(N=Nc2ccc(O)cc2)c(Cl)c1,378.0
CCOC(=O)Cc1csc(/N=N/c2ccc(O)c3ncccc23)n1,438.0
Cc1cc(Cl)ccc1N=Nc1ccc(N(C)C)cc1C,411.0
FC(F)(F)c1ccc(N=Nc2cccs2)cc1,357.0
Cc1ccccc1N=Nc1ccc(N(CCO)CCO)cc1C,418.0
Cc1noc(C)c1N=Nc1cccc(Br)c1,315.0
COc1ccccc1/N=N/c1c(C)noc1C,311.0
Cc1ccc(N=Nc2cc3c4c(c2)CCN4CCC3)cc1,422.0
Cn1c(N)c(N=Nc2ccc([N+](=O)[O-])cc2)c(=O)n(C)c1=O,397.0
CC(=O)c1ccc(N=Nc2ccc(N(CCO)CCC#N)cc2C)cc1,412.0
Cc1cc(N(CCO)CCC#N)ccc1/N=N/c1cccc(Cl)c1,410.0
Cc1cc(N(CCO)CCO)ccc1N=Nc1ccc(F)cc1,417.0
OCCN(CCO)c1ccc(N=Nc2ccccc2)cc1,407.0
CCOC(=O)Cc1csc(N=Nc2ccc(O)c3ncccc23)n1,438.0
CCOC(=O)c1cc(F)c(N=Nc2c(F)cc(C(=O)OCC)cc2F)c(F)c1,314.0
CCOC(=O)c1c(N2CC2)sc(N=Nc2ccc(C(C)=O)cc2)c1-c1ccccc1,484.0
Cc1noc(C)c1N=Nc1cccc2ccccc12,362.0
Cc1c(N=Nc2c(Br)cc([N+](=O)[O-])cc2C#N)sc(NCCOS(C)(=O)=O)c1C#N,584.0
Cc1nnc(N=Nc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)s1,459.0
Nc1ccccc1/N=N/c1ccccc1,421.0
CSc1ccc(N=Nc2nc3ccc([N+](=O)[O-])cc3s2)cc1,421.0
N#CCCN1CCCc2cc(N=Nc3ccccc3)ccc21,410.0
Oc1ccc(/N=N/c2ccc(Oc3ccccc3)cc2)c2cccnc12,395.0
c1ccc(/N=N/c2ccc(Nc3ccccc3)cc2)cc1,411.0
CCN(CCOC(=O)CCCl)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,468.0
OCCN(CCO)c1ccc(/N=N/c2ccccc2)cc1,407.0
COC(=O)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1,442.0
COc1ccc2nc(/N=N/c3ccc(O)c4ncccc34)sc2c1,461.0
CCOC(=O)c1c(NCCBr)sc(N=Nc2ccc([N+](=O)[O-])cc2C(F)(F)F)c1-c1ccccc1,526.0
Cc1ccc(N=Nc2ccc(N(CCO)CCC#N)cc2C)cc1,402.0
Cc1ccc(O)c(N=Nc2ccccc2)c1,330.0
CN(C)c1ccc(N=Nc2cccc(Cl)c2)cc1,420.0
N#CCCN(CCC#N)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,432.0
N#CCCN1CCCc2cc(N=Nc3cc(C(F)(F)F)cc(C(F)(F)F)c3)ccc21,450.0
Oc1ccc(N=Nc2ccccc2)cc1,348.0
FC(F)(F)c1ccc(N=Nc2cc3c4c(c2)CCN4CCC3)cc1,461.0
CN(C)c1ccc(N=Nc2ccccc2Br)cc1,425.0
Cc1noc(C)c1/N=N/c1ccc(Cl)cc1,323.0
N#CCCN(CCC#N)c1ccc(/N=N/c2ccccc2)cc1,382.0
CCc1nnc(N=Nc2c(C)n(C)c3ccccc23)s1,432.0
CCN(CC)c1ccc(N=Nc2ccc(C(C)=O)cc2)cc1,462.0
Cc1noc(C)c1/N=N/c1cc(Cl)ccc1Cl,320.0
N#CCCNc1ccc(/N=N/c2cccc([N+](=O)[O-])c2)cc1,418.0
CC(C)c1ccncc1/N=N/c1ccccc1,323.0
CCc1nnc(N=Nc2c(C)[nH]c3ccccc23)s1,420.0
CCN(CC)c1ccc(/N=N/c2c(C#N)cc([N+](=O)[O-])cc2C#N)cc1OC,623.0
N#CCCN1CCCc2cc(N=Nc3ccc(C(F)(F)F)cc3)ccc21,428.0
CCOC(=O)c1c(N2CC2)sc(N=Nc2ccc(C#N)cc2)c1-c1ccccc1,485.0
CNc1ccc(N=Nc2ccccc2)cc1,402.0
c1ccc(N=Nc2cccs2)cc1,359.0
Cc1noc(C)c1N=Nc1ccccc1[N+](=O)[O-],318.0
CSc1nnc(N=Nc2c(C)n(C)c3ccccc23)s1,451.0
CCOC(=O)c1c(NCCBr)sc(N=Nc2ccc(C(F)(F)F)cc2[N+](=O)[O-])c1-c1ccccc1,492.0
N#CCCNc1ccc(N=Nc2cccc([N+](=O)[O-])c2)cc1,418.0
Cc1ccc(/N=N/c2ccc(O)c3ncccc23)cc1,390.0
Cc1cc2nc(N=Nc3ccc(O)c4ncccc34)sc2cc1C,456.0
Oc1ccc(N=Nc2nc3ccccc3s2)c2cccnc12,442.0
Clc1ccccc1N=Nc1nc2ccccc2s1,335.0
COc1ccccc1N=Nc1ccc(N(CCO)CCO)cc1C,424.0
CCOC(=O)c1c(NCCBr)sc(N=Nc2ccc(C(F)(F)F)cc2)c1-c1ccccc1,462.0
CC(O)c1cccc(/N=N/c2ccc(NCCC#N)cc2)c1,396.0
COc1ccc(C)cc1N=Nc1cc(C(C)(C)C)cc(C(C)(C)C)c1O,392.0
CCN(CC)c1ccc(N=Nc2ccc(Br)cc2)cc1,427.0
Cc1ccc(/N=N/c2ccc(C(F)(F)F)cc2)s1,378.0
Cc1noc(C)c1/N=N/c1cccc(O)c1,313.0
O=[N+]([O-])c1ccc(N=Nc2ccc(NCCO)cc2)cc1,503.0
Cc1cc(N(CCO)CCO)ccc1N=Nc1ccccc1,415.0
Cc1cc(NCCC#N)ccc1N=Nc1ccc(Cl)cc1,404.0
CN(C)c1ccc(/N=N/c2ccc(C(F)(F)F)cc2)cc1,427.0
CCOC(=O)c1c(N2CC2)sc(N=Nc2ccc(C)cc2Cl)c1-c1ccccc1,501.0
Cc1csc(N=Nc2c(O)ccc3ccccc23)n1,491.0
N#Cc1ccc(/N=N/c2ccccc2)s1,367.0
CCN(CCC#N)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,452.0
Cc1ccccc1N=Nc1ccc(N(C)C)cc1C,400.0
Cc1nn(-c2ccc(S(=O)(=O)O)cc2)c(O)c1N=Nc1c(C)nn(-c2ccc(S(=O)(=O)O)c(Cl)c2Cl)c1O,440.0
Cc1ccccc1/N=N/c1ccccc1C,331.0
Clc1ccc(N=Nc2cc3c4c(c2)CCN4CCC3)cc1,444.0
CC(C)c1ccncc1N=Nc1ccccc1,323.0
O=C(O)c1ccccc1N=Nc1nc2ccc([N+](=O)[O-])cc2s1,335.0
O=[N+]([O-])c1cccc(N=Nc2ccccc2)c1,327.0
CC(=O)c1ccc(N=Nc2ccc(O)c3ncccc23)cc1,401.0
CCN(CC)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)c(OC)c1,526.0
COc1ccc(N=Nc2c(O)[nH]c(=O)c(C(N)=O)c2C)cc1,444.0
CCN(CCC#N)c1ccc(N=Nc2ccccc2)c(C)c1,404.0
CCN(CC)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1OC,518.0
CCN(CC)c1ccc(N=Nc2c(Cl)cc([N+](=O)[O-])cc2C#N)c(OC)c1,565.0
CCOC(=O)c1nc(N=Nc2nc(C(=O)OCC)c(NCCCNC(=O)OC(C)(C)C)s2)sc1NCCCNC(=O)OC(C)(C)C,579.0
CN(C)c1ccc(/N=N/c2ccc(Br)cc2)cc1,419.0
CC(=O)c1cccc(N=Nc2ccc(N(C)C)cc2)c1,420.0
Cc1cnc(/N=N/c2ccc(O)c3ncccc23)s1,436.0
Cc1cc(/N=N/c2ccc(N3CCCC3)c(C)c2)ccc1N1CCCC1,406.0
CS(=O)(=O)OCCNc1sc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1C#N,606.0
CCN(CCOC(=O)CCOCCNc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,473.0
N#CCCN1CCCc2cc(N=Nc3ccc(Cl)cc3)ccc21,420.0
CCN(CC)c1ccc(/N=N/c2c(C#N)cccc2C#N)cc1,503.0
Oc1ccc(/N=N/c2nc3ccccc3s2)c2cccnc12,442.0
Cc1cc(N(CCO)CCC#N)ccc1N=Nc1ccccc1Cl,412.0
COc1ccccc1N=Nc1nc2ccc([N+](=O)[O-])cc2s1,337.0
Cc1noc(C)c1/N=N/c1cccc(N)c1,315.0
Fc1cccc(F)c1/N=N/c1ccccc1,309.0
N#CCCN(CCO)c1ccc(/N=N/c2ccccc2)cc1,397.0
CCOC(=O)c1c(N2CC2)sc(N=Nc2ccc([N+](=O)[O-])cc2C(F)(F)F)c1-c1ccccc1,536.0
CC(=O)Nc1ccc(N=Nc2ccc(N(CCO)CCO)cc2)cc1,417.0
CCNc1ccc(N=Nc2ccccc2)cc1,405.0
Cc1cc(C)cc(/N=N/c2ccc(O)cc2)c1,351.0
Cc1cc(N(CCO)CCC#N)ccc1N=Nc1ccc(Cl)cc1,413.0
COc1cc(O)ccc1N=Nc1ccccc1,372.0
COc1ccc(/N=N/c2c(C)noc2C)cc1,337.0
COC(=O)c1ccc(/N=N/c2ccc(N(C)C)cc2)cc1,442.0
CCCCCCCCCCN1C(=O)c2cccc3c(N=Nc4cc([N+](=O)[O-])ccc4N)ccc(c23)C1=O,420.0
CN(C)c1ccc(N=Nc2ccccc2)cc1,408.0
Cc1cc(C)n(C)c1N=Nc1ccccc1,394.0
CCOC(=O)c1c(NCCBr)sc(N=Nc2ccccc2)c1-c1ccccc1,446.0
Fc1ccccc1N=Nc1ccccc1F,325.0
Cc1nn(C)c(C)c1N=Nc1ccccc1N1CCCC1,322.0
Cc1noc(C)c1N=Nc1ccc(Br)cc1,325.0
COc1ccc(N=Nc2ccc3c(c2)CCCN3CCC#N)cc1,406.0
CCOC(=O)c1c(N2CC2)sc(N=Nc2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])c1-c1ccccc1,586.0
Cc1noc(C)c1/N=N/c1ccccc1,315.0
COc1ccc(N=Nc2c(F)cc(OC)cc2F)cc1,350.0
Cc1cc(N(CCO)CCC#N)ccc1N=Nc1ccccc1C(F)(F)F,419.0
Cc1ccc(N=Nc2ccc(C#N)cc2)s1,386.0
FC(F)(F)c1ccccc1N=Nc1ccccc1,317.0
Clc1ccccc1N=Nc1ccccc1Cl,328.0
OCCNc1ccc(N=Nc2ccccc2)cc1,398.0
COc1cccc(N=Nc2ccc(N(C)C)cc2)c1,412.0
c1cc(N=Nc2ccn[nH]2)[nH]n1,320.0
Cc1cc(N=Nc2ccccc2)c(C)n1C,363.0
Cc1cccc(N=Nc2ccc(O)cc2)c1,349.0
Fc1c(F)c(F)c(/N=N/c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,310.0
Fc1cc(F)c(/N=N/c2c(F)cc(F)cc2F)c(F)c1,309.0
O=[N+]([O-])c1cc(Br)c(N=Nc2sc(N3CC3)cc2-c2ccccc2)c([N+](=O)[O-])c1,585.0
CCN(CC)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,512.0
COc1ccccc1N=Nc1nc2ccccc2s1,325.0
Cc1noc(C)c1N=Nc1ccccc1N1CCCCC1,316.0
N#CCCNc1ccc(/N=N/c2ccccc2)cc1,396.0
CC(C)c1cc(S(=O)(=O)O)cc(C(C)C)c1/N=C/c1cc(/N=N/c2ccc([N+](=O)[O-])cc2)ccc1O,267.0
N#CCCN(CCO)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,451.0
CCOC(=O)c1ccc(N=Nc2c(F)cccc2F)cc1,316.0
Clc1ccccc1/N=N/c1ccccc1Cl,328.0
Cc1nn(C)c(C)c1N=Nc1c(F)cccc1N1CCCC1,312.0
Cc1noc(C)c1/N=N/c1cc(F)cc(F)c1,315.0
FC(F)(F)c1ccc(N=Nc2ccc(C(F)(F)F)cc2)cc1,313.0
Brc1ccc(N=Nc2cc3c4c(c2)CCN4CCC3)cc1,448.0
c1ccc(/N=N/c2ccccc2)cc1,319.0
Cc1cc(N(CCO)CCC#N)ccc1/N=N/c1ccccc1Br,417.0
CC(=O)Nc1ccc(N=Nc2nc3ccc([N+](=O)[O-])cc3s2)cc1,406.0
Cn1c(N)c(N=Nc2ccccc2)c(=O)n(C)c1=O,361.0
Brc1ccccc1N=Nc1nccs1,371.0
Cc1n[nH]c(C)c1N=Nc1ccc([N+](=O)[O-])cc1,360.0
Cc1ccccc1N=Nc1ccc(NCCC#N)cc1,400.0
Cn1ccc(N=Nc2ccccc2)n1,320.0
CCN(CC)c1ccc(/N=N/c2ccccc2)cc1,416.0
CCOC(=O)c1c(NCCBr)sc(N=Nc2ccc([N+](=O)[O-])cc2)c1-c1ccccc1,502.0
Cc1ccccc1N=Nc1ccc(NCCC#N)cc1C,400.0
Cc1cc(NCCC#N)ccc1/N=N/c1ccccc1,396.0
CCN(CC)c1ccc(/N=N/c2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1OC,549.0
Cc1cc(N(CCC#N)CCC#N)ccc1/N=N/c1ccccc1,392.0
Cc1nn(C)c(C)c1N=Nc1ccccc1,335.0
Cc1noc(C)c1/N=N/c1cccc(Cl)c1,315.0
COc1cc(N=Nc2ccc(N3CCCC3)c(OC)c2)ccc1N1CCCC1,452.0
Brc1cccc(N=Nc2ccccc2)c1,321.0
CSc1cc(Cl)c(N=Nc2c(Cl)cccc2Cl)c(Cl)c1,350.0
COc1cc([N+](=O)[O-])ccc1N=Nc1c(O)nc(O)nc1O,415.0
Fc1ccc(/N=N/c2ccccc2)cc1,322.0
Cc1nn(-c2ccc(S(=O)(=O)O)cc2)c(O)c1N=Nc1c(C(=O)O)nn(-c2ccc(S(=O)(=O)O)cc2)c1O,460.0
CCN(CC)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1OC,492.0
CCN(CC)c1ccc(N=Nc2ccccc2)cc1,416.0
Cc1ccc(N=Nc2ccc(NCCC#N)cc2C)cc1,395.0
Cc1n[nH]c(C)c1N=Nc1c(Cl)cccc1Cl,307.0
CCOC(=O)c1csc(N=Nc2nc(C(=O)OCC)c(NCCCNC(=O)OC(C)(C)C)s2)n1,528.0
CS(=O)(=O)CC(=O)Nc1ccc(N=Nc2ccc(NC(=O)CS(C)(=O)=O)cc2)cc1,366.0
COc1ccccc1N=Nc1ccc(N(CCCl)CCCl)cc1,405.0
Cc1nn(C)c(C)c1/N=N/c1c(F)cccc1F,328.0
FC(F)(F)c1ccccc1/N=N/c1ccccc1,317.0
Cn1ccnc1/N=N/c1ccccc1,363.0
Cc1noc(C)c1N=Nc1ccc([N+](=O)[O-])cc1,332.0
Cn1cnc(N=Nc2ccccc2)c1,336.0
OCCN(CCO)c1ccc(N=Nc2ccc(F)cc2)cc1,410.0
COCCCNc1c(N=Nc2ccc(C(=O)O)cc2)c(C)c(C#N)c(=O)n1CCCOC(C)C,436.0
CCn1c(O)c(N=Nc2nc(-c3ccc([N+](=O)[O-])cc3)cs2)c(C)c(C#N)c1=O,469.0
Oc1ccc(N=Nc2cc3c4c(c2)CCN4CCC3)cc1,414.0
COc1ccc(N=Nc2cn(C)nn2)cc1,349.0
COc1ccccc1/N=N/c1ccc(NCCC#N)cc1,394.0
FC(F)(F)c1ccc(/N=N/c2ccc(C(F)(F)F)cc2)cc1,313.0
Cc1cc(N=Nc2cc(C)c([N+](=O)[O-])c(C)c2)cc(C)c1N(C)C,382.0
CCOC(=O)c1ccnc(N=Cc2cc(N=Nc3ccc([N+](=O)[O-])cc3)ccc2O)c1,379.0
Cc1ccccc1/N=N/c1ccc(NCCC#N)cc1,400.0
O=[N+]([O-])c1ccc2nc(N=Nc3cccc(Cl)c3)sc2c1,334.0
Oc1ccc(N=Nc2nc3c(Cl)cc(Cl)cc3s2)c2cccnc12,546.0
CCN(CC)c1ccc(/N=N/c2c(Cl)cc([N+](=O)[O-])cc2C#N)cc1,551.0
CCN(CC)c1ccc(N=Nc2ccc(N3CCOCC3)c(C)c2)cc1,412.0
Cc1ccc(/N=N/c2cccs2)cc1,365.0
N#CC1C(N)SC(/N=N/c2nc3ccc([N+](=O)[O-])cc3s2)C1C1CCCCC1,545.0
CCN(CC)c1ccc(N=Nc2ccc(C(F)(F)F)cc2)cc1,434.0
Cc1ccc(N=Nc2ccc(C)c(C)c2)cc1C,333.0
N#CCCNc1ccc(/N=N/c2cccc(Cl)c2)cc1,408.0
Cc1noc(C)c1N=Nc1ccc(I)cc1,330.0
Cc1cc(N(CCO)CCC#N)ccc1/N=N/c1ccccc1,403.0
ClCCN(CCCl)c1ccc(N=Nc2ccccc2)cc1,397.0
ClCCN(CCCl)c1ccc(N=Nc2ccc(Br)cc2)cc1,405.0
Fc1ccc(N=Nc2cc3c4c(c2)CCN4CCC3)cc1,426.0
COc1ccccc1/N=N/c1ccc(N(CCO)CCC#N)cc1C,409.0
Cc1ccccc1N=Nc1ccc(N(CCO)CCC#N)cc1C,405.0
CN(C)c1ccc(N=Nc2ccccc2F)cc1,418.0
COc1ccc(N=Nc2cc3c4c(c2)CCCN4CCC3)cc1,452.0
Cc1ccc(N=Nc2ccc(N(CCO)CCO)cc2)cc1,409.0
COc1cc(N=Nc2ccc([N+](=O)[O-])cc2)ccc1N,488.0
Oc1ccc(N=Nc2ccc(Br)cc2Cl)cc1,368.0
CCN(CC)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)c(OC)c1,505.0
CCOC(=O)c1cc(F)c(N=Nc2ccccc2)c(F)c1,316.0
CC(=O)c1ccc(N=Nc2ccc(N(CCO)CCO)cc2)cc1,448.0
Cc1cnn(C)c1N=Nc1ccccc1,340.0
CN(C)c1ccc(/N=N/c2cccc([N+](=O)[O-])c2)cc1,420.0
Cc1cccc(C)c1N=Nc1ccccc1,316.0
CCOC(=O)c1c(N2CC2)sc(N=Nc2c(Br)cc([N+](=O)[O-])cc2C#N)c1-c1ccccc1,588.0
CN(C)c1ccc(N=Nc2ccccc2C(F)(F)F)cc1,429.0
Cc1cccc(N=Nc2ccc(N(CCO)CCC#N)cc2C)c1,402.0
CCOC(=O)c1c(NCCBr)sc(N=Nc2ccc([N+](=O)[O-])cc2C#N)c1-c1ccccc1,548.0
ClCCN(CCCl)c1ccc(N=Nc2ccc(Cl)cc2)cc1,405.0
CC(=O)Nc1cccc(N=Nc2c(C)noc2C)c1,315.0
Cc1cc(N(CCO)CCO)ccc1N=Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,434.0
CCN(CC(O)CO)c1ccc(N=Nc2ccccc2)c(C)c1,420.0
CC(=O)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1,447.0
N#Cc1cc([N+](=O)[O-])cc(Br)c1N=Nc1sc(N2CC2)cc1-c1ccccc1,588.0
Fc1cc(F)c(F)c(N=Nc2c(F)c(F)cc(F)c2F)c1F,303.0
CCCCNc1sc(N=Nc2nc(C(=O)OCC)c(CNCCC)s2)nc1C(=O)OCC,580.0
Cc1cc(Cl)c(N=Nc2c(Cl)cccc2Cl)c(Cl)c1,302.0
Cc1c(N=Nc2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])sc(NCCBr)c1C#N,586.0
COc1cccc(/N=N/c2ccc(N(CCO)CCC#N)cc2C)c1,407.0
Oc1ccc(/N=N/c2ccccc2)c2cccnc12,384.0
COc1ccc(N=Nc2ccc(OC)cc2N2CCCCC2)cc1,341.0
Cc1cc(N(CCO)CCC#N)ccc1/N=N/c1ccccc1[N+](=O)[O-],429.0
Cc1noc(C)c1/N=N/c1ccccc1C#N,325.0
CCN(CC)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,482.0
Cn1c(-c2ccccc2)c(N=Nc2n[nH]c(S)n2)c2ccccc21,408.0
c1ccc2oc(/N=N/c3nc4ccccc4o3)nc2c1,430.0
Clc1ccc(N=Nc2ccccc2)cc1,324.0
O=[N+]([O-])c1ccc2nc(N=Nc3ccc(F)cc3)sc2c1,342.0
CN(C)c1ccc(N=Nc2cccc(Br)c2)cc1,421.0
O=[N+]([O-])c1ccc2nc(N=Nc3ccccc3)sc2c1,340.0
Oc1ccc(/N=N/c2ccccc2)c(O)c1,400.0
COc1c(N=Nc2c(O)ccc3ccccc23)cc(C)cc1S(N)(=O)=O,500.0
OCc1cccc(N=Nc2nc3ccccc3s2)c1,328.0
O=[N+]([O-])c1cccc(N=Nc2cccc([N+](=O)[O-])c2)c1,311.0
CCN(CC)c1ccc(N=Nc2nc3ccc(OC)cc3s2)c(O)c1,518.0
Cn1nnc(N=Nc2ccccc2)n1,310.0
CSc1ccccc1N=Nc1nc2ccccc2s1,328.0
Cc1n[nH]c(C)c1N=Nc1cc(Cl)ccc1Cl,346.0
O=[N+]([O-])c1ccc(N=Nc2ccc(O)cc2O)cc1,432.0
CCN(CC)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c(OC)c1,545.0
Cc1ccc(N=Nc2ccc(N3CC3)cc2)c(Cl)c1,379.0
Cn1cc(N=Nc2ccccc2)nn1,328.0
Oc1ccc(/N=N/c2nc3ccc(Cl)cc3s2)c2cccnc12,450.0
Cc1cc(Cl)ccc1/N=N/c1ccc(N(C)C)cc1C,411.0
Cc1c(Cl)cccc1/N=N/c1cccc(Cl)c1C,329.0
Cc1ccc(N=Nc2cc3c4c(c2)CCCN4CCC3)cc1,446.0
Cc1c(N=Nc2ccc(C#N)cc2)c(O)[nH]c(=O)c1C(N)=O,413.0
N#Cc1ccc(Cl)c(N=Nc2ccc(O)cc2)c1,372.0
O=[N+]([O-])c1cccc(/N=N/c2ccccc2)c1,327.0
CCOC(=O)c1c(NCCBr)sc(N=Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1-c1ccccc1,538.0
c1cc(N2CCOCC2)ccc1/N=N/c1ccc(N2CCOCC2)cc1,402.0
CCN(CCC#N)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)c(C)c1,463.0
